skill_name,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Data scientist,Аналитик,Инженер данных,ML инженер,Big Data
Непрерывное производство,6055,47850.0,60000.0,70125.0,0.0015529457439580705,3,ML инженер,4.6805523051720103e-05,0.0,5.49964252323599e-05,0.000946329593078275,0.0
Административная поддержка иностранного сотрудника,6056,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Surfer,6057,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
SAP HCM,6058,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
предикты,6059,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,3.099045493987852e-05,0.0,0.0,0.0
Remote Desktop Services,6060,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Копи-центр,6061,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
ARPPU,6062,,,,9.705910899737941e-05,4,Big Data,4.6805523051720103e-05,3.099045493987852e-05,0.0,0.0,0.0002518257365902795
Расчет заработной платы,6063,,,,0.0009705910899737941,1,Аналитик,0.00014041656915516032,0.00015495227469939258,5.49964252323599e-05,6.75949709341625e-05,0.0
Аккаунт-менеджер,6064,,,,0.00019411821799475881,0,Data scientist,9.361104610344021e-05,6.198090987975704e-05,0.0,0.0,0.0
Расторопность,6065,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,0.0,6.75949709341625e-05,0.0
Операционное управление,6066,,,,0.00038823643598951763,1,Аналитик,9.361104610344021e-05,9.297136481963555e-05,0.0,0.0,0.0
AXI-Stream,6067,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Монтаж СКС,6068,,,,0.00019411821799475881,2,Инженер данных,0.0,0.0,0.0001099928504647198,0.0,0.0
Lean Production,6069,,,,0.00019411821799475881,3,ML инженер,0.0,3.099045493987852e-05,0.0,6.75949709341625e-05,0.0
платформ для онлайн-обучения,6070,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Кадровая стратегия,6071,,,,0.00038823643598951763,3,ML инженер,4.6805523051720103e-05,3.099045493987852e-05,0.0,0.0002027849128024875,0.0
JNCIP,6072,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Вождение автомобилей представительского класса,6073,,,,0.0002911773269921382,3,ML инженер,0.0,0.0,0.0,0.0002027849128024875,0.0
создание систем АСУТП,6074,,,,9.705910899737941e-05,3,ML инженер,0.0,0.0,5.49964252323599e-05,6.75949709341625e-05,0.0
Монтаж металлоконструкций,6075,,,,0.0010676501989711734,3,ML инженер,0.0,0.0,0.0001099928504647198,0.0006083547384074625,0.0
администрирование проектов,6076,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
RDP,6077,,,,0.00019411821799475881,2,Инженер данных,0.0,0.0,0.0001099928504647198,0.0,0.0
