skill,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Инженер данных,Аналитик,Аналитик данных,Bi аналитик,ML инженер,Data scientist
Работа в условиях многозадачности,1256,,,,0.009009009009009009,1,Аналитик,0.0002701972439881113,0.002166511915815537,0.0018253726802555522,0.0014534883720930232,0.0,0.0
Управление лояльностью потребителей,1257,,,,0.001001001001001001,3,Bi аналитик,0.0002701972439881113,0.0,0.0,0.0003633720930232558,0.0,0.0
Jmeter,1258,,,,0.0015015015015015015,4,ML инженер,0.0005403944879762226,0.0,0.0,0.0,0.0013175230566534915,0.0
JavaScript,1259,143750.0,200000.0,262500.0,0.016516516516516516,4,ML инженер,0.0035125641718454473,0.00030950170225936243,0.0009126863401277761,0.002543604651162791,0.010540184453227932,0.0026595744680851063
Стажировка,1260,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Huawei,1261,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Развитие ключевых клиентов,1262,,,,0.001001001001001001,4,ML инженер,0.0002701972439881113,0.0,0.0,0.0,0.0013175230566534915,0.0
VLAN,1263,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Английский язык (Intermediate),1264,,,,0.001001001001001001,1,Аналитик,0.0002701972439881113,0.00030950170225936243,0.0,0.0,0.0,0.0
Маржинальный анализ,1265,,,,0.0005005005005005005,3,Bi аналитик,0.0,0.0,0.0,0.0003633720930232558,0.0,0.0
разработка гипотез,1266,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Proxmox,1267,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Yandex Direct,1268,,,,0.001001001001001001,3,Bi аналитик,0.0,0.0,0.0,0.0007267441860465116,0.0,0.0
